Date,Sched (BZ),Sched (MMcf)
07/01/2018,801912,778.56
07/02/2018,802237,778.87
07/03/2018,800149,776.84
07/04/2018,787511,764.57
07/05/2018,787566,764.63
07/06/2018,780987,758.24
07/07/2018,761886,739.7
07/08/2018,764277,742.02
07/09/2018,773586,751.05
07/10/2018,799618,776.33
07/11/2018,763663,741.42
07/12/2018,779022,756.33
07/13/2018,785216,762.35
07/14/2018,790490,767.47
07/15/2018,800942,777.61
07/16/2018,791028,767.99
07/17/2018,787252,764.32
07/18/2018,802369,779.0
07/19/2018,787212,764.28
07/20/2018,777916,755.26
07/21/2018,801297,777.96
07/22/2018,801295,777.96
07/23/2018,793297,770.19
07/24/2018,793363,770.26
07/25/2018,799793,776.5
07/26/2018,790993,767.95
07/27/2018,795202,772.04
07/28/2018,783197,760.39
07/29/2018,768334,745.96
07/30/2018,790393,767.37
07/31/2018,799544,776.26
08/01/2018,667724,648.28
08/02/2018,654421,635.36
08/03/2018,499393,484.85
08/04/2018,176456,171.32
08/05/2018,505486,490.76
08/06/2018,513086,498.14
08/07/2018,731296,710.0
08/08/2018,780675,757.94
08/09/2018,808217,784.68
08/10/2018,760686,738.53
08/11/2018,793743,770.62
08/12/2018,787246,764.32
08/13/2018,804895,781.45
08/14/2018,829367,805.21
08/15/2018,828234,804.11
08/16/2018,538979,523.28
08/17/2018,532577,517.07
08/18/2018,780637,757.9
08/19/2018,788521,765.55
08/20/2018,792582,769.5
